Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
InnoTek,M14,0.35,3.3331,80.957,238.035,13.944223,5.71,Industrials,66
Interra Resource,5GI,0.036,9.4314,22.893,17.121,4.131215,,Energy,69
Intl Cement,KUO,0.019,0.055999999999999994,108.960,263.542,950.000000,,Basic Materials,91
Intraco,I06,0.355,3.2752999999999997,38.569,182.845,19.530176,18.310000000000002,Industrials,72
IPC Corp,AZA,0.129,13.3568,11.003,2.235,1.814346,,Real Estate,58
IPS Securex,42N,0.009,1.4842,4.364,12.853,,,Industrials,61
ISDN,I07,0.315,4.2047,141.306,372.443,16.492147,0.89,Industrials,87
ISEC,40T,0.35,15.0192,201.495,75.144,15.798501,2.86,Healthcare,67
ISOTeam,5WF,0.074,18.9574,52.336,132.818,7.872340,1.08,Industrials,56
iWOW Tech,NXR,0.182,13.648299999999999,47.905,46.209,18.200000,1.21,Technology,78
IX Biopharma,42C,0.019,-106.9136,16.871,7.000,,,Healthcare,71
Jadason,J03,0.007,-27.1228,5.057,25.307,,,Technology,52
Japan Foods,5OI,0.21,-1.5846,36.474,86.820,,0.95,Consumer Cyclical,82
Japfa,UD2,0.615,14.4371,1166.781,4618.982,8.444189,3.25,Consumer Defensive,83
Jardine C&C,C07,24.93,11.5831,9853.241,22298.400,8.120640,5.96,Industrials,101
Jason Marine,5PF,0.136,0.4166,14.280,38.856,,1.8399999999999999,Technology,59
Jawala,1J7,0.16,-5.9216999999999995,18.956,15.526,,,Basic Materials,69
JB Foods,BEW,0.45,1.0632000000000001,136.812,777.898,3.602930,0.44,Consumer Defensive,65
JEP,1J4,0.26,3.9945,107.386,56.910,34.346103,,Industrials,76
Jiutian Chemical,C8R,0.023,-21.3758,45.734,50.568,,,Basic Materials,44
JMH USD,J36,44.6,-1.6453,11480.846,35779.000,,5.04,Industrials,
Joyas Intl,E9L,0.001,-4.6666,2.214,3.942,,,Financial Services,45
Jubilee,NHD,0.023,9.5182,7.308,3.581,,,Technology,50
Jumbo,42R,0.255,24.7309,153.325,190.689,12.142857,3.92,Consumer Cyclical,79
Karin Tech,K29,0.285,4.5309,61.652,2077.937,19.782069,5.28,Technology,70
Katrina,1A0,0.036,,9.054,54.728,4.931507,,Consumer Cyclical,63
Kencana Agri,BNE,0.088,33.4028,25.257,153.734,1.646855,,Consumer Defensive,68
Keong Hong,5TT,0.101,-7.6965,23.736,213.529,1.816547,,Industrials,72
Keppel,BN4,6.79,8.5997,12322.728,6601.158,15.022124,5.01,Industrials,108
Khong Guan,K03,0.86,-2.4884,22.199,73.466,,,Consumer Defensive,76
Kim Heng,5G2,0.076,0.5062,53.575,122.734,190.000000,2.8000000000000003,Energy,75
Kimly,1D0,0.33,18.4133,410.344,320.200,13.524590,6.0600000000000005,Consumer Cyclical,68
KingsmenCreative,5MZ,0.37,11.4396,74.721,388.433,5.683564,5.41,Industrials,51
Koda,BJZ,0.193,-9.6703,16.054,53.378,,,Consumer Cyclical,85
Koh Bros,K75,0.162,-2.0774999999999997,66.818,238.394,,,Industrials,71
