Trading Name,Sector,Ticker,fy_ended,ROA,ROE,operating_margin,cash_flow_margin,debt_ratio_lag1,debt_equity_ratio_lag1,current_ratio_lag1,interest_coverage_ratio_lag1,gross_margin_lag1,net_profit_margin_lag1,asset_turnover_lag1,log_assets_lag1
CH Offshore,Energy,C13.SI,2024,0.02108696054996572,0.027735803070923715,0.0756414655533951,0.29387319379312976,0.11490666128232897,0.15692369397372907,1.1572839893366786,-24.016949152542374,-0.02975844608616253,-0.3574748900141114,0.44226215606013325,17.813325864277303
CH Offshore,Energy,C13.SI,2023,-0.1580976155949999,-0.2159079514689662,-0.3528679339254586,0.013779364157051548,0.11397614378034274,0.1461704978868158,1.705805675323373,-12.718213058419243,0.12387762782945319,-0.17904188397225657,0.2989904510818892,17.94596201607966
CH Offshore,Energy,C13.SI,2022,-0.05353181365141626,-0.06865271621482322,-0.19898919296736384,0.10543577611699553,0.13397164050773108,0.17724862624120313,1.7104482975473903,-14.34,-0.040850515463917526,-0.3188788659793814,0.22617642343957214,18.044080022277605
ParkwayLife Reit,Real Estate,C2PU.SI,2024,0.03725422329642314,0.06053751961843419,0.7839510422116365,0.6593743976650054,0.35493720583308414,0.5856752325993226,0.7383235885466016,11.022030917337776,0.8244895468138634,0.6812710640346654,0.06317846361862686,21.570906781330713
ParkwayLife Reit,Real Estate,C2PU.SI,2023,0.04304165913353732,0.07102223522982813,0.8074416649148624,0.7370394732380804,0.3637206684971793,0.6039677104203799,0.9186891708759394,8.89924639580603,0.8308707613365893,0.31788816419894284,0.055250114318089925,21.57433472093511
ParkwayLife Reit,Real Estate,C2PU.SI,2022,0.017563357412359332,0.029164415669492644,0.41977836852029304,0.7312911501962845,0.35307419271206447,0.5771262006806964,0.33202952280534676,82.71510791366906,0.8143154217268341,2.76058892031276,0.051263551452879495,21.575609232898575
CapLand IntCom T,Real Estate,C38U.SI,2024,0.036596359769814624,0.060142719332645214,0.8139370836692766,0.6582480683389133,0.3841387929387643,0.66925233452018,0.13381796469959437,3.544119178779743,0.7153552650304436,0.5529528813398515,0.06305533995016639,23.931651875881712
CapLand IntCom T,Real Estate,C38U.SI,2023,0.03486663190930835,0.06074516615113171,0.7852646329908829,0.6922145424101276,0.389646446536277,0.6829358862828702,0.20487653232674435,4.120766090246457,0.7236241864904175,0.5017308862095777,0.05844930617377174,23.928716871210636
CapLand IntCom T,Real Estate,C38U.SI,2022,0.029325822184901436,0.05139956117360587,0.6685701444150742,0.7099296894670146,0.35993118413849357,0.5988914491729951,0.6053666600731327,7.055102365924534,0.7287699867668007,0.8299185242569065,0.057385436980720565,23.84747267640122
Cortina,Consumer Cyclical,C41.SI,2024,0.08693875284263648,0.1556212052467641,0.1183149442408519,0.04885275737742112,0.19312256049960969,0.34009986197491354,2.478441846342513,27.348762376237623,0.3291880153165851,0.09258428053789523,1.2904839968774395,20.277759679301063
Cortina,Consumer Cyclical,C41.SI,2023,0.11947853239656518,0.21040852126191223,0.1336741051714647,0.1295001542547078,0.24217814252138792,0.4596289089822339,2.8138405604107697,27.45901171093973,0.3286764890509523,0.09592169247809214,1.2008831575226695,20.207342240572093
Cortina,Consumer Cyclical,C41.SI,2022,0.11519074493800978,0.2186200450192667,0.13410316572413813,0.22155605092165062,0.274266513389289,0.5267331709391795,2.4335612356277583,32.81038506417736,0.29099985116151267,0.09097924275557286,0.8792276269722551,20.023502819922435
ComfortDelGro,Industrials,C52.SI,2024,0.03676342170526389,0.08099268949595999,0.07961577124986038,0.12230537250083771,0.11262980574450392,0.2033337182892559,1.4786551850494687,13.22707423580786,0.14114888024121847,0.04651702187975157,0.8274090027080624,22.268634451473833
ComfortDelGro,Industrials,C52.SI,2023,0.03848860268247436,0.06948454401970974,0.0780609746669072,0.11573847382934309,0.10699929815606457,0.1954925199145133,1.5802267486548809,21.50375939849624,0.13489208633093525,0.04578396106644096,0.8041004700227568,22.271232519292408
ComfortDelGro,Industrials,C52.SI,2022,0.036814904613028776,0.06726248299980571,0.0756453660600931,0.1593049090139653,0.1257145181960577,0.23032200357781754,1.6368043631956368,18.23008849557522,0.14885234669407332,0.03511476533059267,0.7125450070180435,22.31574068670205
